name,rank,species
Dietziaceae,family,Dietzia timorensis
Aphanizomenonaceae,family,Dolichospermum compactum
Spirosomaceae,family,Dyadobacter fermentans
Hafniaceae,family,Edwardsiella ictaluri
Weeksellaceae,family,Elizabethkingia bruuniana
Enterobacteriaceae,family,Enterobacter cloacae
Enterococcaceae,family,Enterococcus faecalis
Erysipelotrichaceae,family,Erysipelotrichaceae bacterium I46
Erythrobacteraceae,family,Erythrobacter gangjinensis
Enterobacteriaceae,family,Escherichia coli
Lachnospiraceae,family,Eubacterium hallii
Lachnospiraceae,family,Eubacterium hallii
Lachnospiraceae,family,Eubacterium rectale
Lachnospiraceae,family,Eubacterium rectale
Oscillospiraceae,family,Faecalibacterium prausnitzii
Gallionellaceae,family,Ferriphaselus amnicola
Spirosomaceae,family,Fibrella aestuarina
Chitinophagaceae,family,Filimonas lacunae
Fimbriimonadaceae,family,Fimbriimonas ginsengisoli
Peptoniphilaceae,family,Finegoldia magna
Hapalosiphonaceae,family,Fischerella sp. NIES-3754
Chitinophagaceae,family,Flavisolibacter tropicus
Flavobacteriaceae,family,Flavobacterium anhuiense
Flavobacteriaceae,family,Flavobacterium branchiophilum
Flavobacteriaceae,family,Flavobacterium columnare
Flavobacteriaceae,family,Flavobacterium commune
Flavobacteriaceae,family,Flavobacterium crassostreae
Flavobacteriaceae,family,Flavobacterium faecale
Flavobacteriaceae,family,Flavobacterium gilvum
Flavobacteriaceae,family,Flavobacterium indicum
Flavobacteriaceae,family,Flavobacterium johnsoniae
Flavobacteriaceae,family,Flavobacterium psychrophilum
Flavobacteriaceae,family,Flavobacterium sp. AJ004
Flavobacteriaceae,family,Flavobacterium sp. HYN0049
Flavobacteriaceae,family,Flavobacterium sp. HYN0056
Flavobacteriaceae,family,Flavobacterium sp. HYN0086
Crocinitomicaceae,family,Fluviicola taffensis
Propionibacteriaceae,family,Friedmanniella sagamiharensis
Planctomycetaceae,family,Fuerstia marisgermanicae
Fusobacteriaceae,family,Fusobacterium nucleatum
Bifidobacteriaceae,family,Gardnerella vaginalis
Chroococcaceae,family,Geminocystis sp. NIES-3708
Gemmataceae,family,Gemmata obscuriglobus
Gemmataceae,family,Gemmata sp. SH-PL17
Rhodobacteraceae,family,Gemmobacter sp. HYN0069
Geobacteraceae,family,Geoalkalibacter subterraneus
Geobacteraceae,family,Geobacter anodireducens
Geodermatophilaceae,family,Geodermatophilus obscurus
Gloeomargaritaceae,family,Gloeomargarita lithophora
Acetobacteraceae,family,Gluconobacter albidus
Kofleriaceae,family,Haliangium ochraceum
Haliscomenobacteraceae,family,Haliscomenobacter hydrossis
Halomonadaceae,family,Halomonas hydrothermalis
Halomonadaceae,family,Halomonas sp. hl-4
Halomonadaceae,family,Halomonas sp. JS92-SW72
Aphanothecaceae,family,Halothece sp. PCC 7418
Helicobacteraceae,family,Helicobacter pylori
Oxalobacteraceae,family,Herbaspirillum seropedicae
Oxalobacteraceae,family,Herminiimonas arsenicoxydans
Microbacteriaceae,family,Humibacter sp. BT305
Comamonadaceae,family,Hydrogenophaga crassostreae
Comamonadaceae,family,Hydrogenophaga sp. PBC
Comamonadaceae,family,Hydrogenophaga sp. RAC07
Burkholderiaceae,family,Hydromonas sp. F02
Hyphomicrobiaceae,family,Hyphomicrobium nitrativorans
Intrasporangiaceae,family,Janibacter indicus
Oxalobacteraceae,family,Janthinobacterium agaricidamnosum
Oxalobacteraceae,family,Janthinobacterium sp. LM6
Oxalobacteraceae,family,Janthinobacterium sp. Marseille
Oxalobacteraceae,family,Janthinobacterium svalbardensis
Roseobacteraceae,family,Ketogulonicigenium vulgare
Kiritimatiellaceae,family,Kiritimatiella glycovorans
Enterobacteriaceae,family,Klebsiella pneumoniae
Micrococcaceae,family,Kocuria flava
Micrococcaceae,family,Kocuria palustris
Micrococcaceae,family,Kocuria turfanensis
Flavobacteriaceae,family,Kordia sp. SMS9
Lactobacillaceae,family,Lactobacillus
Lactobacillaceae,family,Lactobacillus
Lactobacillaceae,family,Lactobacillus backii
Lactobacillaceae,family,Lactobacillus helveticus
Streptococcaceae,family,Lactococcus lactis
Streptococcaceae,family,Lactococcus raffinolactis
Opitutaceae,family,Lacunisphaera limnophila
Lawsonellaceae,family,Lawsonella clevelandensis
Spirosomaceae,family,Leadbetterella byssophila
Legionellaceae,family,Legionella pneumophila
Legionellaceae,family,Legionella sainthelensi
Leptolyngbyaceae,family,Leptolyngbya sp. NIES-3755
Leptolyngbyaceae,family,Leptolyngbya sp. PCC 7376
Leptotrichiaceae,family,Leptotrichia buccalis
Leptotrichiaceae,family,Leptotrichia sp. oral taxon 498
Comamonadaceae,family,Limnohabitans sp. 103DPR2
Comamonadaceae,family,Limnohabitans sp. 63ED37-2
Listeriaceae,family,Listeria monocytogenes
Lobariaceae,family,Lobaria pulmonaria
Vicinamibacteraceae,family,Luteitalea pratensis
Flavobacteriaceae,family,Lutibacter sp. LPB0138
Bacillaceae,family,Lysinibacillus sphaericus
Marivirgaceae,family,Marivirga tractuosa
Oxalobacteraceae,family,Massilia armeniaca
Oxalobacteraceae,family,Massilia putida
Oxalobacteraceae,family,Massilia sp. NR 4-1
Oxalobacteraceae,family,Massilia sp. WG5
Oxalobacteraceae,family,Massilia sp. YMA4
Oxalobacteraceae,family,Massilia timonae
Oxalobacteraceae,family,Massilia violaceinigra
Selenomonadaceae,family,Megamonas hypermegale
Comamonadaceae,family,Melaminivora sp. SC2-7
Comamonadaceae,family,Melaminivora sp. SC2-9
Melioribacteraceae,family,Melioribacter roseus
Sphaerotilaceae,family,Methylibium petroleiphilum
Methylobacteriaceae,family,Methylobacterium phyllosphaerae
Methylobacteriaceae,family,Methylobacterium sp. 17SD2-17
Methylobacteriaceae,family,Methylobacterium sp. AMS5
Methylobacteriaceae,family,Methylobacterium sp. C1
Methylobacteriaceae,family,Methylobacterium sp. DM1
Methylobacteriaceae,family,Methylobacterium sp. XJLM
Methylococcaceae,family,Methylomicrobium album
Methylococcaceae,family,Methylomonas denitrificans
Methylophilaceae,family,Methylophilus sp. TWE2
Methylobacteriaceae,family,Methylorubrum extorquens
Methylophilaceae,family,Methylotenera mobilis
Methylophilaceae,family,Methylotenera versatilis
Microbacteriaceae,family,Microbacterium paraoxydans
Microbacteriaceae,family,Microbacterium pygmaeum
Microbacteriaceae,family,Microbacterium sp. PAMC 28756
Microbacteriaceae,family,Microbacterium sp. PM5
Microbacteriaceae,family,Microbacterium sp. str. 'China'
Microbacteriaceae,family,Microcella alkaliphila
Micrococcaceae,family,Micrococcus luteus
Coleofasciculaceae,family,Microcoleus sp. PCC 7113
Methylobacteriaceae,family,Microvirga sp. 17 mud 1-3
Sphaerotilaceae,family,Mitsuaria sp. 7
Geodermatophilaceae,family,Modestobacter marinus
Moraxellaceae,family,Moraxella bovoculi
Moraxellaceae,family,Moraxella osloensis
Moraxellaceae,family,Moraxellaceae bacterium HYN0046
Morganellaceae,family,Morganella morganii
Sphingobacteriaceae,family,Mucilaginibacter sp. PAMC 26640
Retroviridae,family,Murine leukemia virus
Retroviridae,family,Mus musculus mobilized endogenous polytropic provirus
Mycobacteriaceae,family,Mycobacterium tuberculosis
Mycobacteriaceae,family,Mycolicibacterium neoaurum
Mycoplasmataceae,family,Mycoplasma
Mycoplasmataceae,family,Mycoplasma
Mycoplasmataceae,family,Mycoplasma
Mycoplasmataceae,family,Mycoplasma
Mycoplasmataceae,family,Mycoplasma bovis
Myxococcaceae,family,Myxococcus fulvus
Neisseriaceae,family,Neisseria gonorrhoeae
Neisseriaceae,family,Neisseria meningitidis
Neisseriaceae,family,Neisseriaceae bacterium DSM 100970
Chitinophagaceae,family,Niabella ginsenosidivorans
Chitinophagaceae,family,Niabella soli
Chitinophagaceae,family,Niastella koreensis
Nitrosomonadaceae,family,Nitrosomonas communis
Nitrosomonadaceae,family,Nitrosomonas sp. Is79A3
Nitrospiraceae,family,Nitrospira defluvii
Nitrospiraceae,family,Nitrospira japonica
Nitrospiraceae,family,Nitrospira moscoviensis
Nocardioidaceae,family,Nocardioides dokdonensis
Nocardioidaceae,family,Nocardioides sp. 78
Nocardioidaceae,family,Nocardioides sp. CF8
Nocardioidaceae,family,Nocardioides sp. JS614
Streptosporangiaceae,family,Nonomuraea sp. ATCC 55076
Nostocaceae,family,Nostoc flagelliforme
Nostocaceae,family,Nostoc sp. 'Peltigera membranacea cyanobiont' N6
Nostocaceae,family,Nostoc sphaeroides
Sphingomonadaceae,family,Novosphingobium aromaticivorans
Sphingomonadaceae,family,Novosphingobium sp. THN1
Pseudomonadaceae,family,Oblitimonas alkaliphila
Brucellaceae,family,Ochrobactrum anthropi
Odoribacteraceae,family,Odoribacter splanchnicus
Alcaligenaceae,family,Oligella urethralis
Opitutaceae,family,Opitutus sp. GAS368
Opitutaceae,family,Opitutus terrae
Weeksellaceae,family,Ornithobacterium rhinotracheale
Oscillatoriaceae,family,Oscillatoria acuminata
Oscillatoriaceae,family,Oscillatoria nigro-viridis
Leptolyngbyaceae,family,Oscillatoriales cyanobacterium JSC-12
Comamonadaceae,family,Ottowia oryzae
Comamonadaceae,family,Ottowia sp. oral taxon 894
Paenibacillaceae,family,Paenibacillus polymyxa
Peptostreptococcaceae,family,Paeniclostridium sordellii
Polyangiaceae,family,Pajaroellobacter abortibovis
Isosphaeraceae,family,Paludisphaera borealis
Tannerellaceae,family,Parabacteroides
Tannerellaceae,family,Parabacteroides sp. CT06
Parachlamydiaceae,family,Parachlamydia acanthamoebae
Rhodobacteraceae,family,Paracoccus aminovorans
Rhodobacteraceae,family,Paracoccus sp. CBA4604
Rhodobacteraceae,family,Paracoccus yeei
Bacillaceae,family,Parageobacillus thermoglucosidasius
Parvibaculaceae,family,Parvibaculum lavamentivorans
Pasteurellaceae,family,Pasteurella multocida
Sphingobacteriaceae,family,Pedobacter cryoconitis
Desulfuromonadaceae,family,Pelobacter propionicus
Sporomusaceae,family,Pelosinus fermentans
Peptoniphilaceae,family,Peptoniphilus sp. ING2-D1G
Caulobacteraceae,family,Phenylobacterium sp. HYN0004
Caulobacteraceae,family,Phenylobacterium zucineum
Phycisphaeraceae,family,Phycisphaera mikurensis
Pirellulaceae,family,Pirellula staleyi
Planctomycetaceae,family,Planctomyces sp. SH-PL14
Planctomycetaceae,family,Planctomyces sp. SH-PL62
Planctomycetaceae,family,Planctopirus limnophila
Comamonadaceae,family,Polaromonas naphthalenivorans
Comamonadaceae,family,Polaromonas sp. JS666
Sphaerotilaceae,family,Polyangium brachysporum
Sphaerotilaceae,family,Polyangium brachysporum
Burkholderiaceae,family,Polynucleobacter necessarius
Porphyromonadaceae,family,Porphyromonas gingivalis
Prevotellaceae,family,Prevotella denticola
Prevotellaceae,family,Prevotella intermedia
Prevotellaceae,family,Prevotella melaninogenica
Prochlorococcaceae,family,Prochlorococcus marinus
Cytophagaceae,family,Pseudarcicella sp. HME7025
Arcobacteraceae,family,Pseudoarcobacter suis
Chitinophagaceae,family,Pseudoflavitalea sp. 5GH32-13
Pseudomonadaceae,family,Pseudomonas
Pseudomonadaceae,family,Pseudomonas
Pseudomonadaceae,family,Pseudomonas
Pseudomonadaceae,family,Pseudomonas aeruginosa
Pseudomonadaceae,family,Pseudomonas alcaligenes
Pseudomonadaceae,family,Pseudomonas fragi
Pseudomonadaceae,family,Pseudomonas mendocina
Pseudomonadaceae,family,Pseudomonas protegens
Pseudomonadaceae,family,Pseudomonas putida
Pseudomonadaceae,family,Pseudomonas sp. phDV1
Pseudomonadaceae,family,Pseudomonas sp. SWI6
Pseudomonadaceae,family,Pseudomonas sp. WCS374
Pseudomonadaceae,family,Pseudomonas tolaasii
Sphingobacteriaceae,family,Pseudopedobacter saltans
Xanthomonadaceae,family,Pseudoxanthomonas suwonensis
Moraxellaceae,family,Psychrobacter
Moraxellaceae,family,Psychrobacter alimentarius
Moraxellaceae,family,Psychrobacter cryohalolentis
Moraxellaceae,family,Psychrobacter sp. AntiMn-1
Moraxellaceae,family,Psychrobacter sp. DAB_AL43B
Moraxellaceae,family,Psychrobacter sp. P11F6
Moraxellaceae,family,Psychrobacter sp. P2G3
Moraxellaceae,family,Psychrobacter sp. PRwf-1
Moraxellaceae,family,Psychrobacter sp. YP14
Burkholderiaceae,family,Ralstonia pickettii
Burkholderiaceae,family,Ralstonia solanacearum
Comamonadaceae,family,Ramlibacter tataouinensis
Micrococcaceae,family,Renibacterium salmoninarum
Rhizobiaceae,family,Rhizobium sp. NT-26
Sphingomonadaceae,family,Rhizorhabdus dicambivorans
Rhodobacteraceae,family,Rhodobacter sp. LPB0142
Rhodobacteraceae,family,Rhodobacter sphaeroides
Rhodobacteraceae,family,Rhodobacteraceae bacterium
Rhodobacteraceae,family,Rhodobacteraceae bacterium QY30
Nocardiaceae,family,Rhodococcus aetherivorans
Nocardiaceae,family,Rhodococcus qingshengii
Nocardiaceae,family,Rhodococcus ruber
Nocardiaceae,family,Rhodococcus sp. 008
Nocardiaceae,family,Rhodococcus sp. BH4
Nocardiaceae,family,Rhodococcus sp. p52
Nocardiaceae,family,Rhodococcus sp. YL-1
Rhodocyclaceae,family,Rhodocyclaceae bacterium
Comamonadaceae,family,Rhodoferax antarcticus
Comamonadaceae,family,Rhodoferax ferrireducens
Comamonadaceae,family,Rhodoferax koreense
Comamonadaceae,family,Rhodoferax saidenbachensis
Microbacteriaceae,family,Rhodoluna lacicola
Hyphomicrobiaceae,family,Rhodomicrobium vannielii
Pirellulaceae,family,Rhodopirellula baltica
Hyphomicrobiaceae,family,Rhodoplanes sp. Z2-YC6860
Nitrobacteraceae,family,Rhodopseudomonas palustris
Weeksellaceae,family,Riemerella anatipestifer
Sphaerotilaceae,family,Roseateles depolymerans
Acetobacteraceae,family,Roseomonas sp. FDAARGOS_362
Micrococcaceae,family,Rothia mucilaginosa
Planctomycetaceae,family,Rubinisphaera brasiliensis
Sphaerotilaceae,family,Rubrivivax gelatinosus
Oscillospiraceae,family,Ruminococcus champanellensis
Enterobacteriaceae,family,Salmonella enterica
Sandaracinaceae,family,Sandaracinus amylolyticus
Saprospiraceae,family,Saprospira grandis
Scytonemataceae,family,Scytonema sp. HK-05
Selenomonadaceae,family,Selenomonas sp. oral taxon 136
Shewanellaceae,family,Shewanella baltica
Rhizobiaceae,family,Shinella sp. HZN7
Flavobacteriaceae,family,Siansivirga zeaxanthinifaciens
Gallionellaceae,family,Sideroxydans lithotrophicus
Comamonadaceae,family,Simplicispira suum
Isosphaeraceae,family,Singulisphaera acidiphila
Leptotrichiaceae,family,Sneathia amnii
Sinobacteraceae,family,Solimonas sp. K1W22B-7
Polyangiaceae,family,Sorangium cellulosum
Sphingobacteriaceae,family,Sphingobacterium mizutaii
Sphingobacteriaceae,family,Sphingobacterium sp. ML3W
Sphingomonadaceae,family,Sphingobium cloacae
Sphingomonadaceae,family,Sphingobium sp. MI1205
Sphingomonadaceae,family,Sphingobium sp. RAC03
Sphingomonadaceae,family,Sphingobium sp. TKS
Sphingomonadaceae,family,Sphingobium sp. YBL2
Sphingomonadaceae,family,Sphingobium yanoikuyae
Sphingomonadaceae,family,Sphingomonas
Sphingomonadaceae,family,Sphingomonas
Sphingomonadaceae,family,Sphingomonas hengshuiensis
Sphingomonadaceae,family,Sphingomonas koreensis
Sphingomonadaceae,family,Sphingomonas melonis
Sphingomonadaceae,family,Sphingomonas panacis
Sphingomonadaceae,family,Sphingomonas sanxanigenens
Sphingomonadaceae,family,Sphingomonas sp. FARSPH
Sphingomonadaceae,family,Sphingomonas sp. JJ-A5
Sphingomonadaceae,family,Sphingomonas sp. KC8
Sphingomonadaceae,family,Sphingomonas sp. LK11
Sphingomonadaceae,family,Sphingomonas sp. LM7
Sphingomonadaceae,family,Sphingomonas sp. MM-1
Sphingomonadaceae,family,Sphingomonas sp. NIC1
Sphingomonadaceae,family,Sphingomonas taxi
Sphingomonadaceae,family,Sphingopyxis fribergensis
Sphingomonadaceae,family,Sphingopyxis granuli
Sphingomonadaceae,family,Sphingopyxis sp. LPB0140
Cytophagaceae,family,Spirosoma pollinicola
Dermocarpellaceae,family,Stanieria sp. NIES-3757
Staphylococcaceae,family,Staphylococcus aureus
Staphylococcaceae,family,Staphylococcus epidermidis
Xanthomonadaceae,family,Stenotrophomonas acidaminiphila
Xanthomonadaceae,family,Stenotrophomonas maltophilia
Xanthomonadaceae,family,Stenotrophomonas sp. Pemsol
Steroidobacteraceae,family,Steroidobacter denitrificans
Archangiaceae,family,Stigmatella aurantiaca
Streptococcaceae,family,Streptococcus constellatus
Streptococcaceae,family,Streptococcus infantarius
Streptococcaceae,family,Streptococcus pneumoniae
Streptococcaceae,family,Streptococcus pyogenes
Streptomycetaceae,family,Streptomyces lividans
Roseobacteraceae,family,Sulfitobacter sp. AM1-D1
Thiovulaceae,family,Sulfuricurvum
Thiovulaceae,family,Sulfuricurvum kujiense
Sterolibacteriaceae,family,Sulfuritalea hydrogenivorans
Synechococcaceae,family,Synechococcus
Synechococcaceae,family,Synechococcus
Synechococcaceae,family,Synechococcus sp. KORDI-49
Synechococcaceae,family,Synechococcus sp. PCC 6312
Synechococcaceae,family,Synechococcus sp. PCC 7502
Synechococcaceae,family,Synechococcus sp. RCC307
Synechococcaceae,family,Synechococcus sp. UTEX 2973
Syntrophobacteraceae,family,Syntrophobacter fumaroxidans
Tannerellaceae,family,Tannerella forsythia
Tannerellaceae,family,Tannerella sp. oral taxon HOT-286
Alcaligenaceae,family,Taylorella equigenitalis
Zoogloeaceae,family,Thauera humireducens
Zoogloeaceae,family,Thauera sp. K11
Thermoguttaceae,family,Thermogutta terrifontis
Thiobacillaceae,family,Thiobacillus denitrificans
Aeromonadaceae,family,Tolumonas auensis
Treponemataceae,family,Treponema pallidum
Treponemataceae,family,Treponema sp. OMZ 838
Microcoleaceae,family,Trichodesmium erythraeum
Actinomycetaceae,family,Trueperella pyogenes
Alicyclobacillaceae,family,Tumebacillus algifaecis
Turicibacteraceae,family,Turicibacter sp. H121
Leptospiraceae,family,Turneriella parva
Comamonadaceae,family,Variovorax boronicumulans
Comamonadaceae,family,Variovorax paradoxus
Comamonadaceae,family,Variovorax sp. HW608
Comamonadaceae,family,Variovorax sp. PAMC 28711
Comamonadaceae,family,Variovorax sp. PMC12
Veillonellaceae,family,Veillonella parvula
Comamonadaceae,family,Verminephrobacter eiseniae
Verrucomicrobiaceae,family,Verrucomicrobium sp. GAS474
Verrucomicrobiaceae,family,Verrucomicrobium spinosum
Vibrionaceae,family,Vibrio cholerae
Vibrionaceae,family,Vibrio vulnificus
Neisseriaceae,family,Vitreoscilla filiformis
Weeksellaceae,family,Weeksella virosa
Flavobacteriaceae,family,Winogradskyella sp. PG-2
Xanthobacteraceae,family,Xanthobacter autotrophicus
Xanthomonadaceae,family,Xanthomonas citri
Yersiniaceae,family,Yersinia pestis
Rhodobacteraceae,family,Yoonia vestfoldensis
Zoogloeaceae,family,Zoogloeaceae bacteirum Par-f-2
Acaryochloris,genus,Acaryochloris marina
Acetobacter,genus,Acetobacter pomorum
Acidimicrobium,genus,Acidimicrobium ferrooxidans
Acidovorax,genus,Acidovorax avenae
Acidovorax,genus,Acidovorax carolinensis
Diaphorobacter,genus,Acidovorax ebreus
Acidovorax,genus,Acidovorax sp. JS42
Acidovorax,genus,Acidovorax sp. KKS102
Acidovorax,genus,Acidovorax sp. T1
Acinetobacter,genus,Acinetobacter
Acinetobacter,genus,Acinetobacter baumannii
Acinetobacter,genus,Acinetobacter haemolyticus
Acinetobacter,genus,Acinetobacter indicus
Acinetobacter,genus,Acinetobacter johnsonii
Acinetobacter,genus,Acinetobacter junii
Acinetobacter,genus,Acinetobacter lwoffii
Acinetobacter,genus,Acinetobacter schindleri
Acinetobacter,genus,Acinetobacter sp. ACNIH1
Acinetobacter,genus,Acinetobacter sp. NCu2D-2
Acinetobacter,genus,Acinetobacter sp. SWBY1
Acinetobacter,genus,Acinetobacter sp. TTH0-4
Acinetobacter,genus,Acinetobacter sp. WCHA45
Acinetobacter,genus,Acinetobacter sp. WCHAc010034
Pauljensenia,genus,Actinomyces hongkongensis
Actinomyces,genus,Actinomyces oris
Actinoplanes,genus,Actinoplanes derwentensis
Actinoplanes,genus,Actinoplanes sp. SE50
Actinoplanes,genus,Actinoplanes sp. SE50/110
Actinopolyspora,genus,Actinopolyspora erythraea
Aerococcus,genus,Aerococcus urinaehominis
Aeromonas,genus,Aeromonas hydrophila
Aeromonas,genus,Aeromonas salmonicida
Aeromonas,genus,Aeromonas sp. ASNIH4
Agrobacterium,genus,Agrobacterium vitis
Agrococcus,genus,Agrococcus carbonis
Agrococcus,genus,Agrococcus jejuensis
Akkermansia,genus,Akkermansia muciniphila
Alcanivorax,genus,Alcanivorax sp. N3-2A
Alicycliphilus,genus,Alicycliphilus denitrificans
Aliarcobacter,genus,Aliiarcobacter skirrowii
Alistipes,genus,Alistipes shahii
Alkalitalea,genus,Alkalitalea saponilacus
Altererythrobacter,genus,Altererythrobacter sp. B11
Alteromonas,genus,Alteromonas mediterranea
Anabaena,genus,Anabaena cylindrica
Anabaena,genus,Anabaena sp. WA102
Anaerococcus,genus,Anaerococcus mediterraneensis
Anaerococcus,genus,Anaerococcus prevotii
Anaerolinea,genus,Anaerolinea thermophila
Anaeromyxobacter,genus,Anaeromyxobacter sp. Fw109-5
Anaerostipes,genus,Anaerostipes hadrus
Aquabacterium,genus,Aquabacterium olei
Aquaspirillum,genus,Aquaspirillum sp. LM1
Arachidicoccus,genus,Arachidicoccus sp. BS20
Arachidicoccus,genus,Arachidicoccus sp. KIS59-12
Arcanobacterium,genus,Arcanobacterium haemolyticum
Arenibacter,genus,Arenibacter algicola
Aromatoleum,genus,Aromatoleum aromaticum
Arthrobacter,genus,Arthrobacter sp. Rue61a
Arthrobacter,genus,Arthrobacter sp. YC-RL1
Asticcacaulis,genus,Asticcacaulis excentricus
Aurantimicrobium,genus,Aurantimicrobium sp. MWH-Mo1
Azoarcus,genus,Azoarcus communis
Azoarcus,genus,Azoarcus sp. CIB
Azospira,genus,Azospira oryzae
Gammaretrovirus,genus,Baboon endogenous virus
Bacillus,genus,Bacillus anthracis
Bacillus,genus,Bacillus atrophaeus
Bacillus,genus,Bacillus cereus
Bacillus,genus,Bacillus sp. FJAT-14266
Bacillus,genus,Bacillus sp. Lzh-5
Bacillus,genus,Bacillus subtilis
Bacillus,genus,Bacillus thuringiensis
Bacillus,genus,Bacillus velezensis
Bacteriovorax,genus,Bacteriovorax stolpii
Phocaeicola,genus,Bacteroides dorei
Bacteroides,genus,Bacteroides fragilis
Bacteroides,genus,Bacteroides ovatus
Phocaeicola,genus,Bacteroides salanitronis
Phocaeicola,genus,Bacteroides vulgatus
Barnesiella,genus,Barnesiella viscericola
Bartonella,genus,Bartonella sp. 11B
Bartonella,genus,Bartonella sp. Coyote22sub2
Bdellovibrio,genus,Bdellovibrio bacteriovorus
Pseudobdellovibrio,genus,Bdellovibrio exovorus
Bernardetia,genus,Bernardetia litoralis
Beutenbergia,genus,Beutenbergia cavernae
Bifidobacterium,genus,Bifidobacterium animalis
Bifidobacterium,genus,Bifidobacterium dentium
Bifidobacterium,genus,Bifidobacterium longum
Blastococcus,genus,Blastococcus saxobsidens
Blautia,genus,Blautia sp. YL58
Bordetella,genus,Bordetella parapertussis
Bordetella,genus,Bordetella pertussis
Bosea,genus,Bosea sp. AS-1
Bradyrhizobium,genus,Bradyrhizobium japonicum
Bradyrhizobium,genus,Bradyrhizobium sp. 2 39S1MB
Bradyrhizobium,genus,Bradyrhizobium sp. SK17
Brevefilum,genus,Brevefilum fermentans
Brevibacillus,genus,Brevibacillus brevis
Brevibacterium,genus,Brevibacterium linens
Brevundimonas,genus,Brevundimonas diminuta
Brevundimonas,genus,Brevundimonas naejangsanensis
Brevundimonas,genus,Brevundimonas sp. DS20
Brevundimonas,genus,Brevundimonas sp. GW460-12-10-14-LB2
Brevundimonas,genus,Brevundimonas vesicularis
Brucella,genus,Brucella abortus
Brucella,genus,Brucella canis
Brucella,genus,Brucella melitensis
Burkholderia,genus,Burkholderia cenocepacia
Burkholderia,genus,Burkholderia cepacia
Burkholderia,genus,Burkholderia mallei
Burkholderia,genus,Burkholderia pseudomallei
Burkholderia,genus,Burkholderia sp. Bp7605
Burkholderia,genus,Burkholderia thailandensis
Campylobacter,genus,Campylobacter concisus
Campylobacter,genus,Campylobacter gracilis
Campylobacter,genus,Campylobacter jejuni
Candidatus Accumulibacter,genus,Candidatus Accumulibacter phosphatis
Candidatus Atelocyanobacterium,genus,Candidatus Atelocyanobacterium thalassa
Liberibacter,genus,Candidatus Liberibacter asiaticus
Candidatus Methylopumilus,genus,Candidatus Methylopumilus planktonicus
Candidatus Methylopumilus,genus,Candidatus Methylopumilus turicensis
Candidatus Phytoplasma,genus,Candidatus Phytoplasma mali
Candidatus Planktophila,genus,Candidatus Planktophila sulfonica
Candidatus Protochlamydia,genus,Candidatus Protochlamydia amoebophila
Rhodoluna,genus,Candidatus Rhodoluna planktonica
Candidatus Nanosynbacter,genus,Candidatus Saccharibacteria oral taxon TM7x
Candidatus Solibacter,genus,Candidatus Solibacter usitatus
Candidatus Sulcia,genus,Candidatus Sulcia muelleri
Candidatus Xiphinematobacter,genus,Candidatus Xiphinematobacter sp. Idaho Grape
Capnocytophaga,genus,Capnocytophaga gingivalis
Castellaniella,genus,Castellaniella defragrans
Caulobacter,genus,Caulobacter henricii
Caulobacter,genus,Caulobacter mirabilis
Caulobacter,genus,Caulobacter sp. K31
Candidatus Viadribacter,genus,Caulobacteraceae bacterium OTSz_A_272
Celeribacter,genus,Celeribacter baekdonensis
Celeribacter,genus,Celeribacter indicus
Cellulomonas,genus,Cellulomonas sp. PSBB021
Cellvibrio,genus,Cellvibrio sp. PSBB023
Chamaesiphon,genus,Chamaesiphon minutus
Chitinophaga,genus,Chitinophaga caeni
Chitinophaga,genus,Chitinophaga sp. MD30
Chondrocystis,genus,Chondrocystis sp. NIES-4102
Chondromyces,genus,Chondromyces crocatus
Chroococcidiopsis,genus,Chroococcidiopsis thermalis
Chryseobacterium,genus,Chryseobacterium taklimakanense
Chryseolinea,genus,Chryseolinea sp. KIS68-18
Clostridioides,genus,Clostridioides difficile
Clostridium,genus,Clostridium botulinum
Clostridium,genus,Clostridium estertheticum
Clostridium,genus,Clostridium saccharobutylicum
Clostridium,genus,Clostridium sp. MF28
Cnuibacter,genus,Cnuibacter physcomitrellae
Collimonas,genus,Collimonas arenae
Collimonas,genus,Collimonas fungivorans
Collimonas,genus,Collimonas pratensis
Collinsella,genus,Collinsella aerofaciens
Serpentinimonas,genus,Comamonadaceae bacterium A1
Serpentinimonas,genus,Comamonadaceae bacterium B1
Comamonas,genus,Comamonas aquatica
Comamonas,genus,Comamonas kerstersii
Comamonas,genus,Comamonas serinivorans
Comamonas,genus,Comamonas testosteroni
Conexibacter,genus,Conexibacter woesei
Corallococcus,genus,Corallococcus coralloides
Corynebacterium,genus,Corynebacterium diphtheriae
Corynebacterium,genus,Corynebacterium glutamicum
Corynebacterium,genus,Corynebacterium glyciniphilum
Corynebacterium,genus,Corynebacterium imitans
Corynebacterium,genus,Corynebacterium jeikeium
Corynebacterium,genus,Corynebacterium riegelii
Corynebacterium,genus,Corynebacterium sphenisci
Corynebacterium,genus,Corynebacterium ureicelerivorans
Crinalium,genus,Crinalium epipsammum
Croceicoccus,genus,Croceicoccus marinus
Croceicoccus,genus,Croceicoccus naphthovorans
Cupriavidus,genus,Cupriavidus gilardii
Cupriavidus,genus,Cupriavidus metallidurans
Curtobacterium,genus,Curtobacterium pusillum
Curtobacterium,genus,Curtobacterium sp. MR_MD2014
Curvibacter,genus,Curvibacter
Curvibacter,genus,Curvibacter sp. AEP1-3
Cutibacterium,genus,Cutibacterium acnes
Cutibacterium,genus,Cutibacterium granulosum
